epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.719,1.98006,1.64493,0.99882,0.83961,0.41631,0.4681,0.21102,1.85206,1.07158,0.95486,0.0670722,0.000332604,0.000332604
2,389.182,1.61379,0.9188,0.91855,0.62237,0.58247,0.62206,0.31094,1.57873,0.98816,0.90514,0.0340634,0.000657147,0.000657147
3,578.705,1.49972,0.81902,0.89991,0.75839,0.67312,0.71529,0.34552,1.66906,0.89311,0.9184,0.00104583,0.00097289,0.00097289
4,768.444,1.42688,0.76782,0.89074,0.78831,0.70534,0.77167,0.37115,1.54727,0.81463,0.89869,0.0009604,0.0009604,0.0009604
5,959.007,1.37547,0.71712,0.88241,0.84685,0.76467,0.83291,0.4595,1.35262,0.6943,0.87286,0.0009472,0.0009472,0.0009472
6,1148.87,1.3291,0.68522,0.87573,0.87948,0.75533,0.82379,0.45715,1.34027,0.68295,0.86944,0.000934,0.000934,0.000934
7,1338.87,1.29597,0.66197,0.87171,0.8694,0.78396,0.84983,0.46052,1.44568,0.71397,0.88355,0.0009208,0.0009208,0.0009208
8,1528.8,1.2784,0.65424,0.86851,0.86248,0.77456,0.86198,0.5065,1.26655,0.66011,0.86136,0.0009076,0.0009076,0.0009076
9,1719.04,1.25996,0.63172,0.86522,0.87531,0.79169,0.86101,0.45879,1.44384,0.6769,0.89074,0.0008944,0.0008944,0.0008944
10,1909.97,1.23863,0.62276,0.86158,0.90583,0.79956,0.86604,0.51891,1.23718,0.6235,0.85649,0.0008812,0.0008812,0.0008812
11,2098.7,1.21516,0.6038,0.85889,0.89508,0.79505,0.88249,0.51815,1.25962,0.61995,0.85722,0.000868,0.000868,0.000868
12,2287.4,1.20233,0.60183,0.85685,0.86557,0.80224,0.87895,0.51658,1.25046,0.64325,0.85874,0.0008548,0.0008548,0.0008548
13,2475.76,1.18507,0.58935,0.85345,0.90519,0.7994,0.88252,0.5229,1.23616,0.5947,0.85513,0.0008416,0.0008416,0.0008416
14,2664.69,1.17675,0.58551,0.85525,0.92164,0.81163,0.88922,0.54599,1.17879,0.57729,0.85082,0.0008284,0.0008284,0.0008284
15,2854.29,1.16736,0.57494,0.85528,0.90316,0.8113,0.8878,0.53707,1.21922,0.58081,0.85098,0.0008152,0.0008152,0.0008152
16,3043.76,1.14384,0.56628,0.85011,0.91483,0.8169,0.89566,0.53919,1.18484,0.56473,0.84802,0.000802,0.000802,0.000802
17,3231.53,1.14554,0.56063,0.85117,0.91045,0.82839,0.89705,0.54,1.17728,0.56429,0.84763,0.0007888,0.0007888,0.0007888
18,3421.11,1.1292,0.55307,0.84942,0.90942,0.83798,0.89926,0.55723,1.14034,0.54799,0.84508,0.0007756,0.0007756,0.0007756
